App Name,Package Name,Has Launcher Intent,Suspicious Keyword in Name,Permissions Count,App Size (MB),Last Used (days ago),First Seen,ML Risk Prediction,Risk Level,Reason
net.one97.paytm},net.one97.paytm,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.classroom},com.google.android.apps.classroom,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.snapchat.android},com.snapchat.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.youtube.music},com.google.android.apps.youtube.music,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
ai.perplexity.app.android},ai.perplexity.app.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.digilocker.android},com.digilocker.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.example.igdtuwresources},com.example.igdtuwresources,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.coloros.backuprestore},com.coloros.backuprestore,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.azure.authenticator},com.azure.authenticator,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
tv.accedo.airtel.wynk},tv.accedo.airtel.wynk,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.docs.editors.docs},com.google.android.apps.docs.editors.docs,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.cisco.wx2.android},com.cisco.wx2.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
smartapps38.pdf.compressor.compress.file.pdf},smartapps38.pdf.compressor.compress.file.pdf,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.linkedin.android},com.linkedin.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.spotify.music},com.spotify.music,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.realmestore.app},com.realmestore.app,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.sraoss.dmrc},com.sraoss.dmrc,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.internshala.app},com.internshala.app,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.openai.chatgpt},com.openai.chatgpt,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.refread.igdtuw},com.refread.igdtuw,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
andes.oplus.documentsreader},andes.oplus.documentsreader,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.videos},com.google.android.videos,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.sbi.lotusintouch},com.sbi.lotusintouch,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.jetstartgames.chess},com.jetstartgames.chess,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.bard},com.google.android.apps.bard,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
free.programming.programming},free.programming.programming,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.docs.editors.sheets},com.google.android.apps.docs.editors.sheets,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.truecaller},com.truecaller,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.katalyst},com.katalyst,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.pallo.passiontimerscoped},com.pallo.passiontimerscoped,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.finshell.fin},com.finshell.fin,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.stickers.stickermaker.aistickerapp},com.stickers.stickermaker.aistickerapp,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
us.zoom.videomeetings},us.zoom.videomeetings,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.chromecast.app},com.google.android.apps.chromecast.app,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.microsoft.office.outlook},com.microsoft.office.outlook,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.dare2compete.app},com.dare2compete.app,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.yablio.sendfilestotv},com.yablio.sendfilestotv,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.discord},com.discord,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.realmecomm.app},com.realmecomm.app,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.mxtech.videoplayer.ad},com.mxtech.videoplayer.ad,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.whatsapp},com.whatsapp,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.phonepe.app},com.phonepe.app,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.docs},com.google.android.apps.docs,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.microsoft.appmanager},com.microsoft.appmanager,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
net.asiaflix.eighty4media},net.asiaflix.eighty4media,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.coloros.note},com.coloros.note,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.adobe.scan.android},com.adobe.scan.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.microsoft.office.word},com.microsoft.office.word,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.delhitransport.onedelhi},com.delhitransport.onedelhi,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
org.telegram.messenger},org.telegram.messenger,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.viki.android},com.viki.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.myairtelapp},com.myairtelapp,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.google.android.apps.adm},com.google.android.apps.adm,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.amazon.avod.thirdpartyclient},com.amazon.avod.thirdpartyclient,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.udemy.android.ufb},com.udemy.android.ufb,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
com.instagram.android},com.instagram.android,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
red,com.google.android.apps.subscriptions.red,True,False,0,0.0,0,2025-07-13,High,High,Hidden intent or Suspicious keyword or High ML score
